official,P07,NP,NP,1,False=(1.0, 'DUMMY', 1.0)
obtain,VJ1,Nddc,S,-1,False=(1.0, 'time', 2.0)
relate,VK2,NP,VP,1,False=(0.875, 'goal', 7.0)|(0.125, 'theme', 1.0)
establish,VC33,Nes,S,-1,False=(1.0, 'quantity', 1.0)
perception,VE2,Dh,S,-1,False=(1.0, 'manner', 1.0)
aged,VH13,DM,S,-1,False=(1.0, 'range', 1.0)
publications,Naeb,VP좪ず,NP,-1,False=(0.6666666666666666, 'predication', 2.0)|(0.3333333333333333, 'property', 1.0)
obey,Caa[P1],VH11,V,1,False=(1.0, 'DUMMY2', 1.0)
sorry,VE2,V좪쫆,VP,-1,False=(1.0, 'manner', 1.0)
MakeLiving,VA4,P21,VP,-1,False=(1.0, 'condition', 1.0)
HighRank,VA11,DM좪쫆,S,-1,False=(1.0, 'manner', 1.0)
endorse,VJ1,Dbaa,S,-1,False=(1.0, 'epistemics', 1.0)
borrow,VA4,Dbb,VP,-1,False=(1.0, 'evaluation', 1.0)
lean,VA12,P21,VP,1,False=(1.0, 'location', 1.0)
SayHello,VB11,P35,VP,-1,False=(1.0, 'goal', 2.0)
speak,VE2,VP,S,1,False=(1.0, 'goal', 1.0)
dense,VH11,Dbaa,S,-1,False=(1.0, 'epistemics', 1.0)
fund,Naeb,VH13,NP,-1,False=(1.0, 'property', 2.0)
rights,Nad,PP좪ず,NP,-1,False=(0.5, 'property', 1.0)|(0.5, 'predication', 1.0)
base,VC31,Dbab,S,-1,False=(1.0, 'deontics', 3.0)
mean,VK2,Dbb,S,-1,False=(1.0, 'evaluation', 5.0)
receive,VC31,Dab,VP,-1,False=(1.0, 'quantity', 1.0)
difficult,VC2,P31,VP,-1,False=(0.5, 'target', 1.0)|(0.5, 'goal', 1.0)
sequence,VG2,Dbb,S,-1,False=(1.0, 'evaluation', 1.0)
HaveContest,Nac,V좪ず,NP,-1,False=(1.0, 'property', 3.0)
kind,Nac,N,NP,-1,False=(1.0, 'property', 1.0)
return,VC2,P19,VP,-1,False=(1.0, 'condition', 2.0)
LeaveFor,VC1,P06,S,-1,True=(1.0, 'theme', 1.0)
agree,VA4,Cbca,S,-1,True=(1.0, 'result', 1.0)
know,VK2,NP,VP,1,False=(1.0, 'goal', 1.0)
relax,VH11,Dfa,S,-1,False=(1.0, 'degree', 1.0)
pollute,VC2,Dbaa,S,-1,False=(1.0, 'epistemics', 1.0)
GoBack,VA13,Dbb,VP,-1,False=(1.0, 'evaluation', 5.0)
agree,VK1,Daa,S,-1,False=(1.0, 'quantity', 1.0)
disappointed,Nv4,Cbca,NP,-1,False=(1.0, 'contrast', 1.0)
HaveContest,VC2,Dbab,VP,-1,False=(1.0, 'deontics', 3.0)
reverse,VC31,NP,S,1,False=(1.0, 'theme', 1.0)
suitable,VH15,Dab,VP,-1,False=(1.0, 'quantity', 1.0)
range,Nac,Nab,NP,-1,False=(1.0, 'property', 3.0)
celestial,Nac,V좪ず,NP,-1,False=(1.0, 'property', 2.0)
ship,Nab,VH11,NP,-1,False=(1.0, 'property', 12.0)
food,Naeb,Ncc,NP,-1,False=(1.0, 'property', 1.0)
RangeValue,VC1,P26,VP,-1,True=(1.0, 'location', 1.0)
land,Ncb,NP,NP,-1,False=(0.5, 'property', 3.0)|(0.5, 'apposition', 3.0)
joyful,Nad,V좪ず,NP,-1,False=(1.0, 'property', 1.0)
standard,Nac,Nca,NP,-1,False=(1.0, 'property', 2.0)
establish,VC33,Dab,VP,-1,False=(1.0, 'quantity', 1.0)
facing,VK2,NP,S,1,False=(1.0, 'goal', 1.0)
block,VK2,NP,S,-1,False=(1.0, 'theme', 1.0)
crawl,VA11,Di,VP,1,False=(1.0, 'aspect', 1.0)
relate,VK2,S,VP,1,False=(1.0, 'goal', 2.0)
look,VC2,Cbaa,VP,-1,False=(0.5, 'hypothesis', 1.0)|(0.5, 'condition', 1.0)
drinks,Naa,VC2,NP,-1,False=(1.0, 'property', 1.0)
painful,VH11,Dd,S,-1,False=(1.0, 'time', 3.0)
building,Nac,NP,NP,-1,False=(1.0, 'property', 1.0)
research,Ncb,Nad,NP,-1,False=(1.0, 'property', 7.0)
beneath,Ng,VP,GP,-1,False=(1.0, 'DUMMY', 18.0)
install,VJ3,Ncdb,S,-1,False=(1.0, 'time', 1.0)
act,VB11,Neqa,S,-1,True=(1.0, 'quantity', 1.0)
drain,VC31,Dbb,VP,-1,False=(1.0, 'evaluation', 1.0)
act,VJ1,VP,S,1,False=(0.75, 'complement', 3.0)|(0.25, 'goal', 1.0)
rotate,VA11,P62,S,-1,True=(1.0, 'target', 1.0)
study,VE11,NP,VP,1,False=(1.0, 'goal', 1.0)
gather,VC31,NP,S,1,False=(1.0, 'theme', 8.0)
alive,VH11,Di,VP,1,False=(1.0, 'aspect', 2.0)
skin,Nab,S좪ず,NP,-1,False=(1.0, 'predication', 1.0)
include,VC2,Ng,S,-1,False=(1.0, 'time', 1.0)
QuantifierValue,Ng,NP,NP,-1,False=(1.0, 'DUMMY', 1.0)
guide,VC2,DM,S,-1,True=(1.0, 'duration', 1.0)
fair,VH11,Cbaa,S,-1,False=(1.0, 'reason', 1.0)
merge,VB12,Dd,S,-1,False=(1.0, 'time', 1.0)
room,Nab,Nba,NP,-1,False=(1.0, 'property', 1.0)
reconcile,Nv4,PP좪ず,NP,-1,False=(1.0, 'predication', 1.0)
festival,Ndabd,Ndda,NP,-1,False=(1.0, 'property', 1.0)
source,Nv4,NP,NP,-1,False=(1.0, 'theme', 3.0)
object,Ncdb,Nac,NP,-1,False=(1.0, 'property', 4.0)
dynasty,Nac,A,NP,-1,False=(1.0, 'property', 13.0)
FallDown,Nv4,NP,NP,-1,False=(1.0, 'time', 1.0)
MakeAppointment,Nad,Nac,NP,-1,False=(1.0, 'property', 1.0)
come,VJ3,NP,S,-1,False=(1.0, 'theme', 15.0)
appear,VH16,Cbca,VP,-1,False=(0.6, 'result', 3.0)|(0.4, 'avoidance', 2.0)
undergo,VC2,P39,VP,-1,False=(1.0, 'manner', 1.0)
ordinary,VH11,Dfa,VP,-1,False=(1.0, 'degree', 6.0)
city,Nab,VP,NP,-1,False=(1.0, 'property', 2.0)
GoInto,Nv1,Ncb,NP,1,False=(1.0, 'location', 1.0)
dream,Nac,DM,NP,-1,False=(1.0, 'quantifier', 1.0)
world,Ncb,Nad,NP,-1,False=(1.0, 'property', 13.0)
undergo,VK1,Cbaa,VP,-1,False=(1.0, 'condition', 1.0)
AspectValue,Caa,VA4,VA4,-1,False=(1.0, 'DUMMY1', 1.0)
perception,VE2,Dbaa,S,-1,False=(1.0, 'epistemics', 9.0)
tree,Nab,Neu,NP,-1,False=(1.0, 'quantifier', 1.0)
ability,Nad,Nddb,NP,-1,False=(1.0, 'property', 1.0)
QuantityValue,Neqa,V좪ず,NP,-1,False=(1.0, 'property', 1.0)
deny,VE2,Dh,S,-1,False=(1.0, 'manner', 1.0)
unfold,VC33,Ncda,S,-1,False=(1.0, 'location', 1.0)
sorry,VK1,Dh,VP,-1,False=(1.0, 'manner', 1.0)
HaveContest,Nad,NP좪ず,NP,-1,False=(1.0, 'property', 1.0)
become,VC31,P21,VP,-1,False=(0.5, 'time', 1.0)|(0.5, 'location', 1.0)
visit,VA4,NP,VP,-1,False=(1.0, 'time', 1.0)
community,Nab,Nca,NP,-1,True=(1.0, 'property', 4.0)
reject,VC2,Cbba,S,-1,False=(1.0, 'reason', 1.0)
know,VK1,Di,S,1,False=(1.0, 'aspect', 4.0)
take,VB2,P07,VP,-1,False=(1.0, 'theme', 2.0)
act,VE2,Daa,VP,-1,False=(1.0, 'quantity', 2.0)
doctor,Nv1,Neqa,NP,-1,False=(1.0, 'quantifier', 1.0)
DegreeValue,VH11,Dfb,S,1,False=(1.0, 'degree', 2.0)
do,Nac,VH11,NP,-1,False=(1.0, 'property', 1.0)
awake,VH22,P07,S,-1,False=(1.0, 'experiencer', 1.0)
upset,VH22,Dd,S,-1,False=(1.0, 'time', 1.0)
sell,VL4,NP,S,-1,False=(0.9629629629629629, 'causer', 52.0)|(0.018518518518518517, 'topic[+theme]', 1.0)|(0.018518518518518517, 'agent', 1.0)
method,Nad,P11,NP,-1,False=(1.0, 'property', 1.0)
small,Nab,Ncc,NP,-1,False=(1.0, 'property', 1.0)
remember,VB11,Dfa,S,-1,False=(1.0, 'degree', 1.0)
ThinkOf,VE2,Tc,VP,1,False=(1.0, 'particle', 1.0)
amiable,VH11,P31,VP,-1,False=(1.0, 'target', 1.0)
style,Nac,Nab,NP,-1,False=(1.0, 'property', 4.0)
RegardAs,VC2,Dbaa,S,-1,False=(1.0, 'epistemics', 2.0)
function,VA4,Di,VP,1,True=(1.0, 'aspect', 1.0)
clearheaded,VH11,Dbab,S,-1,False=(1.0, 'deontics', 1.0)
ill,VJ1,P23,VP,-1,False=(1.0, 'time', 1.0)
cease,VA13,VH11,VP,-1,False=(1.0, 'manner', 1.0)
teach,Nab,N좪ず,NP,-1,False=(1.0, 'property', 1.0)
estimate,VE2,Ndaba,S,-1,False=(1.0, 'time', 1.0)
illuminate,VC2,Dd,S,-1,False=(1.0, 'time', 1.0)
WhileAway,VA12,NP,S,-1,False=(1.0, 'theme', 1.0)
reputation,Nad,NP좪ず,NP,-1,False=(0.5, 'property', 1.0)|(0.5, 'possessor', 1.0)
time,Ndabc,Ndaba,NP,-1,True=(1.0, 'property', 2.0)
SeekPleasure,VC2,NP,VP,1,False=(1.0, 'goal', 2.0)
ask,VE11,Dd,S,-1,True=(1.0, 'time', 1.0)
do,VA11,VA4,VP,1,True=(1.0, 'complement', 2.0)
alive,Nad,Ndabf,NP,-1,False=(1.0, 'property', 2.0)
transport,VC32,P59,VP,-1,False=(1.0, 'source', 1.0)
PickOut,VC2,Dh,VP,-1,False=(1.0, 'manner', 1.0)
organization,Ncb,VC1,NP,-1,False=(1.0, 'property', 1.0)
hue,Nad,VH11,NP,-1,False=(1.0, 'property', 1.0)
do,VC2,Dc,S,-1,True=(1.0, 'negation', 1.0)
plan,VC31,Nddc,VP,-1,False=(1.0, 'time', 1.0)
display,VC31,NP,S,-1,False=(0.625, 'agent', 5.0)|(0.375, 'theme', 3.0)
follow,VC2,P21,S,1,False=(1.0, 'location', 3.0)
alike,VH11,P35,VP,-1,False=(0.6666666666666666, 'comparison', 2.0)|(0.3333333333333333, 'companion', 1.0)
add,VH16,Dab,S,-1,False=(1.0, 'quantity', 2.0)
finish,VH16,Nac,VP,-1,False=(1.0, 'time', 1.0)
transport,VC32,Cbca,VP,-1,False=(1.0, 'result', 1.0)
prohibit,Nv1,DE,NP,-1,False=(1.0, 'nominal', 1.0)
depend,VJ1,VP,S,1,False=(1.0, 'complement', 2.0)
news,Nac,Nca,NP,-1,False=(1.0, 'property', 2.0)
wipe,VC2,NP,VP,-1,False=(1.0, 'location', 1.0)
harmonious,Caa,Nab,Nad,1,False=(1.0, 'DUMMY2', 1.0)
simultaneous,Caa,VP,S,-1,False=(1.0, 'DUMMY1', 3.0)
publications,Nac,NP,NP,-1,False=(1.0, 'property', 2.0)
no-type,VA4,Neu,S,-1,False=(1.0, 'manner', 1.0)
act,VA4[+ASP],ADV좪쫆,S,-1,False=(1.0, 'manner', 1.0)
prepare,VC2,V좪쫆,S,-1,False=(1.0, 'manner', 1.0)
fast,VH13,Dbaa,VP,1,False=(1.0, 'epistemics', 2.0)
big,VH13,VJ3,S,-1,False=(1.0, 'negation', 1.0)
fulfil,VH11,Dbb,S,-1,False=(1.0, 'evaluation', 1.0)
shows,Nab,DM,NP,-1,False=(1.0, 'quantifier', 1.0)
density,Nad,Nca,NP,-1,False=(1.0, 'property', 1.0)
publications,Nac,Nad,NP,-1,False=(1.0, 'property', 2.0)
happen,VC1,Dd,S,-1,False=(1.0, 'time', 1.0)
surplus,VJ3,Daa,VP,-1,False=(1.0, 'quantity', 11.0)
chemical,Naa,Naa,NP,-1,False=(1.0, 'property', 2.0)
weaken,VC2,Dd,VP,-1,False=(1.0, 'time', 2.0)
fragrant,VH11,VP,VP,1,False=(1.0, 'complement', 1.0)
human,Naeb,Ndda,NP,-1,False=(1.0, 'property', 1.0)
magnificent,Nv1,VP,NP,-1,False=(1.0, 'property', 1.0)
decide,VE2,Ndabe,VP,-1,False=(1.0, 'time', 1.0)
farewell,VA4,Ta,S,1,False=(1.0, 'particle', 1.0)
receive,VE2,Di,S,1,False=(1.0, 'aspect', 1.0)
cease,VC2,VP,S,1,False=(1.0, 'complement', 1.0)
QuantityPropertyValue,Caa,V,V,-1,True=(1.0, 'DUMMY1', 1.0)
classify,VB11,P23,S,1,True=(1.0, 'location', 1.0)
evade,VE2,Dh,S,-1,False=(1.0, 'manner', 2.0)
willing,VL1,P61,S,-1,False=(1.0, 'time', 1.0)
animal,Nab,VH11,NP,-1,False=(1.0, 'property', 3.0)
uprise,VA4,DM,VP,1,False=(1.0, 'quantifier', 1.0)
become,VG2,Daa,VP,-1,False=(1.0, 'quantity', 2.0)
disseminate,Nac,Nes,NP,-1,False=(1.0, 'quantifier', 1.0)
ish,VG2,VP,S,1,False=(0.5, 'range', 1.0)|(0.5, 'complement', 1.0)
FondOf,VL1,Ng,VP,-1,False=(1.0, 'time', 1.0)
property,Nad,N좪ず,NP,-1,False=(0.75, 'property', 3.0)|(0.25, 'possessor', 1.0)
release,VC33,Dd,S,-1,False=(1.0, 'time', 6.0)
controlled,VI2,Dbb,S,-1,False=(1.0, 'evaluation', 1.0)
keep,VJ1,P21,S,1,False=(0.5, 'goal', 3.0)|(0.3333333333333333, 'condition', 2.0)|(0.16666666666666666, 'range', 1.0)
research,Nv1,NP,NP,-1,True=(1.0, 'agent', 1.0)
CauseToDo,VF2,NP,VP,1,False=(0.5, 'theme', 1.0)|(0.5, 'goal', 1.0)
produce,VG1,VP,VP,1,False=(1.0, 'complement', 1.0)
tie,VH11,Dfa,VP,-1,False=(1.0, 'degree', 1.0)
appear,VH16,Cbcb,VP,-1,False=(1.0, 'addition', 1.0)
wood,Naeb,VP좪ず,NP,-1,False=(1.0, 'predication', 1.0)
prosper,VC1,Cbba,S,-1,True=(1.0, 'reason', 1.0)
draw,VC31,Cbaa,VP,-1,False=(0.5, 'reason', 1.0)|(0.5, 'concession', 1.0)
function,VA4,Di,S,1,False=(1.0, 'aspect', 1.0)
no-type,Nab,Nhab,Nab,-1,False=(1.0, 'property', 1.0)
tour,VC1,P21,S,-1,False=(1.0, 'location', 3.0)
no-type,VP,NP,VP,-1,False=(0.2, 'goal', 2.0)|(0.2, 'duration', 2.0)|(0.2, 'agent', 2.0)|(0.1, 'topic', 1.0)|(0.1, 'time', 1.0)|(0.1, 'theme', 1.0)|(0.1, 'apposition', 1.0)
sleep,VA12,VH21,S,-1,False=(1.0, 'manner', 1.0)
check,VC2,Dd,S,-1,True=(1.0, 'time', 3.0)
GoBack,VD1,VE2,S,1,False=(1.0, 'complement', 2.0)
food,Naeb,VC2,NP,-1,False=(1.0, 'property', 1.0)
constant,VH11,NP,S,-1,False=(1.0, 'theme', 5.0)
DisadvantageValue,Nac,Neu,NP,-1,False=(1.0, 'quantifier', 1.0)
punish,VC2,P02,VP,-1,True=(1.0, 'agent', 1.0)
earn,VC31,NP,S,-1,False=(1.0, 'agent', 7.0)
eat,VC2,P21,S,1,False=(1.0, 'location', 1.0)
ResultIn,VL4,Ndabd,VP,-1,False=(1.0, 'time', 1.0)
include,VC1,NP,S,-1,False=(1.0, 'theme', 2.0)
QuantityPropertyValue,Caa,VB11,VB11,-1,False=(1.0, 'DUMMY1', 1.0)
green,Nv1,Nac,NP,-1,False=(1.0, 'property', 1.0)
manage,Nab,Naea,NP,-1,False=(1.0, 'property', 1.0)
eye,Nac,Nab,NP,-1,False=(1.0, 'property', 1.0)
able,VH11,Dd,S,-1,False=(1.0, 'time', 7.0)
DegreeValue,VH11,Dc,S,-1,False=(1.0, 'negation', 29.0)
object,Nac,VI2,NP,-1,False=(1.0, 'property', 1.0)
no-type,NP,Dd,S,-1,False=(1.0, 'time', 2.0)
QuantityPropertyValue,Caa,DM,DM,-1,True=(1.0, 'DUMMY1', 1.0)
no-type,VC2,Dbab,S,1,False=(1.0, 'deontics', 1.0)
exhaust,VJ3,NP,VP,1,False=(1.0, 'range', 3.0)
build,Naeb,VH13,NP,-1,False=(1.0, 'property', 1.0)
think,VK1,S,VP,1,False=(1.0, 'goal', 5.0)
covert,VH11,Dfa,S,-1,False=(1.0, 'degree', 1.0)
text,Nac,PP좪ず,NP,-1,False=(0.5, 'target', 1.0)|(0.5, 'predication', 1.0)
suffer,VC31,NP,VP,-1,False=(0.5, 'theme', 3.0)|(0.16666666666666666, 'topic', 1.0)|(0.16666666666666666, 'time', 1.0)|(0.16666666666666666, 'location', 1.0)
mental,Nad,DM좪ず,NP,-1,False=(1.0, 'quantifier', 1.0)
bend,VA4,VC2,S,1,False=(1.0, 'complement', 1.0)
change,VC2,켹좪V,S,1,True=(1.0, 'complement', 1.0)
earn,VC31,Dj,VP,-1,False=(1.0, 'reason', 1.0)
water,Nac,V좪ず,NP,-1,False=(1.0, 'property', 1.0)
difficult,VH11,Dbaa,VP,-1,False=(1.0, 'epistemics', 3.0)
extreme,VK2,VP,VP,1,False=(0.8, 'goal', 4.0)|(0.2, 'complement', 1.0)
PassOn,VC33,Dh,S,-1,False=(1.0, 'manner', 1.0)
circumstances,Nad,VH11,NP,-1,False=(1.0, 'property', 8.0)
alike,VG2,Cbbb,S,-1,False=(1.0, 'listing', 2.0)
use,VC31,Cbcb,S,-1,False=(1.0, 'addition', 1.0)
wipe,VC2,Dd,S,-1,False=(1.0, 'time', 1.0)
sorry,VG1,Cbba,S,-1,False=(1.0, 'reason', 1.0)
object,Ncda,Nce,NP,-1,False=(1.0, 'property', 1.0)
disgust,VK1,Nddc,S,-1,False=(1.0, 'time', 1.0)
obey,VE2,P02,VP,-1,True=(1.0, 'agent', 1.0)
potty,VH11,P21,VP,-1,False=(1.0, 'time', 1.0)
resolute,VK2,Cbca,S,-1,False=(1.0, 'contrast', 1.0)
GoodLooking,Nad,V좪ず,NP,-1,False=(1.0, 'property', 4.0)
visit,VC2,DM,S,1,False=(1.0, 'frequency', 1.0)
evade,VE2,NP,VP,1,True=(1.0, 'goal', 1.0)
be,V_11,Dab,VP,-1,True=(1.0, 'quantity', 1.0)
hold,VC33,VB11,S,1,False=(1.0, 'complement', 1.0)
regard,VE2,Tc,VP,1,False=(1.0, 'particle', 3.0)
cause,Caa[P1],VJ2,V,1,False=(1.0, 'DUMMY1', 1.0)
CauseToDo,VL4,Dc,VP,-1,False=(1.0, 'negation', 1.0)
lights,Nba,VP좪ず,NP,-1,False=(1.0, 'predication', 1.0)
lucid,VH11,Ta,S,1,False=(1.0, 'particle', 1.0)
location,VC2,Dd,VP,-1,False=(1.0, 'time', 1.0)
print,VA4,P21,VP,1,False=(1.0, 'location', 1.0)
TakeCare,Nv1,Neu,NP,-1,False=(1.0, 'quantifier', 1.0)
GoInto,VC1,NP,S,-1,False=(0.975, 'theme', 78.0)|(0.0125, 'time', 1.0)|(0.0125, 'goal', 1.0)
read,VC2,Ndabe,S,-1,False=(1.0, 'time', 1.0)
withstand,VJ2,Dd,S,-1,False=(1.0, 'time', 1.0)
dismount,VC31,VP,VP,1,False=(1.0, 'complement', 2.0)
InstitutePlace,Ncb,Neqa,NP,-1,False=(1.0, 'quantifier', 46.0)
waste,Nab,Nac,NP,-1,True=(1.0, 'property', 1.0)
price,Nad,Ndda,NP,-1,False=(1.0, 'property', 1.0)
ExpressAnger,VC31,Neqa,VP,-1,False=(1.0, 'quantity', 1.0)
no-type,VP,P06,S,-1,True=(1.0, 'agent', 1.0)
community,Nab,VH11,NP,-1,False=(1.0, 'property', 7.0)
regard,VE2,Nddb,VP,-1,False=(1.0, 'time', 1.0)
sorrowful,Nv4,VB11,NP,-1,False=(1.0, 'property', 1.0)
distinguish,VC2,NP,S,1,True=(1.0, 'goal', 1.0)
information,Nab,VH11,NP,-1,False=(1.0, 'property', 16.0)
Taiwan,Nca,DM,NP,-1,False=(1.0, 'quantifier', 3.0)
effectivity,Nac,A,NP,-1,False=(1.0, 'property', 4.0)
undergo,VJ3,Dc,VP,-1,False=(1.0, 'negation', 11.0)
teach,VC2,NP,VP,1,True=(1.0, 'goal', 1.0)
act,VJ1[+NEG],Dab,VP,-1,False=(1.0, 'quantity', 1.0)
place,Nca,NP,NP,-1,False=(0.7567567567567568, 'apposition', 28.0)|(0.24324324324324326, 'property', 9.0)
FondOf,VK1,Dc,VP,-1,False=(1.0, 'negation', 5.0)
circumstances,Nac,Ncc,NP,-1,False=(1.0, 'property', 5.0)
adjust,VH12,NP,S,-1,False=(1.0, 'theme', 1.0)
surpass,VC1,Dbb,S,-1,False=(1.0, 'evaluation', 2.0)
flesh,Naa,VC31,NP,-1,False=(1.0, 'property', 1.0)
no-type,V,NP,S,-1,True=(0.5, 'theme', 2.0)|(0.25, 'goal', 1.0)|(0.25, 'agent', 1.0)
AlterMeasurement,VH14,PP,VP,-1,False=(1.0, 'target', 1.0)
show,VC2,NP,VP,1,False=(1.0, 'goal', 11.0)
thing,Ncb,Nhaa,NP,-1,False=(1.0, 'possessor', 1.0)
undergo,VK2,DM,VP,-1,False=(1.0, 'frequency', 1.0)
act,Nad,Nab,NP,-1,False=(1.0, 'property', 2.0)
dispatch,VA4,Dd,VP,-1,False=(1.0, 'time', 1.0)
destroy,Nv1,NP,NP,-1,False=(1.0, 'property', 1.0)
human,Nbc,NP,NP,-1,False=(1.0, 'apposition', 1.0)
wrap,VC2,V좪쫆,VP,-1,False=(1.0, 'manner', 1.0)
HaveContest,VC2,Tc,VP,1,False=(1.0, 'particle', 1.0)
reside,VA12,Di,S,1,False=(1.0, 'aspect', 4.0)
space,Ncdb,NP좪ず,NP,-1,False=(1.0, 'property', 1.0)
put,VC33,NP,S,-1,False=(0.4666666666666667, 'agent', 7.0)|(0.3333333333333333, 'theme', 5.0)|(0.2, 'location', 3.0)
become,VA2,ADV좪쫆,VP,-1,False=(1.0, 'manner', 1.0)
harmonious,Caa,A,A,-1,False=(1.0, 'DUMMY1', 1.0)
despise,VJ1,NP,VP,1,False=(1.0, 'goal', 9.0)
facing,P28,NP,PP,1,False=(1.0, 'DUMMY', 7.0)
livestock,Nab,A,NP,-1,False=(1.0, 'property', 1.0)
tool,Nac,V좪ず,NP,-1,True=(1.0, 'property', 1.0)
delimit,VE2,Dc,S,-1,True=(1.0, 'negation', 1.0)
beautiful,VH11,Dc,S,-1,False=(1.0, 'negation', 2.0)
doubt,VE2,Dd,VP,-1,False=(1.0, 'time', 2.0)
weep,VA4,VA11,VP,1,False=(1.0, 'complement', 2.0)
undergo,VJ2,Nddb,VP,-1,False=(1.0, 'time', 1.0)
fight,VA4,Ndda,S,-1,False=(1.0, 'time', 1.0)
remember,VK1,Ng,S,1,False=(1.0, 'time', 1.0)
guarantee,VC2,VH11,VP,1,False=(1.0, 'complement', 1.0)
experiment,VC2,VP,S,1,True=(1.0, 'complement', 1.0)
GoodTaste,Nad,NP좪ず,NP,-1,False=(1.0, 'property', 1.0)
start,VA13,VP,VP,1,False=(1.0, 'complement', 4.0)
exist,V_2,P41,S,-1,False=(0.6666666666666666, 'topic', 2.0)|(0.3333333333333333, 'theme', 1.0)
act,VC1,VH21,VP,-1,False=(1.0, 'manner', 1.0)
fair,Nv4,NP,NP,-1,False=(1.0, 'theme', 2.0)
regard,VE2,Ng,S,-1,False=(1.0, 'time', 1.0)
twine,VA4,VP,S,1,False=(1.0, 'result', 1.0)
unintentional,VH11,VP,S,-1,False=(1.0, 'theme', 1.0)
speak,VA4,VP,VP,1,False=(1.0, 'complement', 6.0)
artifact,Nab,N좪ず,NP,-1,False=(0.782608695652174, 'property', 18.0)|(0.13043478260869565, 'quantifier', 3.0)|(0.08695652173913043, 'possessor', 2.0)
buy,VC31,Dfa,VP,-1,False=(1.0, 'degree', 1.0)
relax,VC2,NP,VP,1,False=(1.0, 'goal', 1.0)
AmountTo,VJ3,NP,S,-1,False=(1.0, 'theme', 47.0)
influence,VC2,Dd,VP,-1,False=(1.0, 'time', 1.0)
mention,VE2,Dd,VP,-1,False=(1.0, 'time', 3.0)
backward,VH11,VH11,S,-1,False=(1.0, 'manner', 2.0)
miserable,Nv4,NP,NP,-1,False=(1.0, 'theme', 2.0)
insert,VC33,Di,VP,1,False=(1.0, 'aspect', 2.0)
request,VF1,P62,VP,-1,False=(1.0, 'target', 6.0)
CircumstancesValue,Nac,DM,NP,-1,False=(1.0, 'quantifier', 17.0)
plan,VF1,NP,S,-1,False=(1.0, 'agent', 27.0)
excited,Nac,Nad,NP,-1,False=(1.0, 'property', 3.0)
enrich,VA4,Nca,VP,-1,False=(1.0, 'location', 1.0)
act,VC2,Ndda,S,-1,False=(1.0, 'time', 1.0)
excited,VC2,Dbab,S,-1,False=(1.0, 'deontics', 1.0)
water,Naa,VH11,NP,-1,False=(1.0, 'property', 13.0)
